gene	ensg	gene_group	Family_count	Family_connection	PS3	BS3	External_Eval	Exclusion	Training_set
TRPS1	ENSG00000104447	GATA zinc finger domain containing	2	5	1	0	0	0	1
NPRL2	ENSG00000114388	GATOR1 subcomplex	1	2	1	0	0	0	1
SMARCA2	ENSG00000080503	GBAF complex subunits	4	3	1	0	0	0	1
NAA30	ENSG00000139977	GCN5 related N-acetyltransferases	2	4	1	0	0	0	1
NAA80	ENSG00000243477	GCN5 related N-acetyltransferases	2	4	1	0	0	0	1
TAF1	ENSG00000147133	General transcription factor IID complex subunits	3	2	1	0	0	0	1
TAF6	ENSG00000106290	General transcription factor IID complex subunits	2	2	1	0	0	0	1
G6PC3	ENSG00000141349	"Glucose 6-phosphatases, catalytic"	1	2	1	0	0	0	1
GRIA1	ENSG00000155511	Glutamate ionotropic receptor AMPA type subunits	1	2	1	0	0	0	1
GRIK2	ENSG00000164418	Glutamate ionotropic receptor kainate type subunits	1	1	1	0	0	0	1
CAD	ENSG00000084774	Glutamine amidotransferase class 1 domain containing	1	2	1	0	0	0	1
QRSL1	ENSG00000130348	Glutamyl-tRNA amidotransferase subunits	1	1	1	0	0	0	1
GPX4	ENSG00000167468	Glutathione peroxidase family	2	1	1	0	0	0	1
GLRA1	ENSG00000145888	Glycine receptors	1	2	1	0	0	0	1
GLRA2	ENSG00000101958	Glycine receptors	1	2	1	0	0	0	1
PYGL	ENSG00000100504	Glycogen phosphorylases	1	2	1	0	0	0	1
FSHR	ENSG00000170820	Glycoprotein hormone receptors	1	3	1	0	0	0	1
TSHB	ENSG00000134200	Glycoprotein hormone subunits	2	1	1	0	0	0	1
PIGC	ENSG00000135845	Glycosylphosphatidylinositol-N-acetylglucosaminyltransferase complex	2	1	1	0	0	0	1
GYG1	ENSG00000163754	Glycosyltransferase family 8	1	2	1	0	0	0	1
RXYLT1	ENSG00000118600	Glycosyltransferase family 8	1	2	1	0	0	0	1
MCEE	ENSG00000124370	Glyoxalase domain containing	1	2	1	0	0	0	1
GPC3	ENSG00000147257	Glypicans	1	2	1	0	0	0	1
GPC4	ENSG00000076716	Glypicans	1	2	1	0	0	0	1
HUWE1	ENSG00000086758	HECT domain containing	3	5	1	0	0	0	1
HACE1	ENSG00000085382	HECT domain containing	2	5	1	0	0	0	1
TRIP12	ENSG00000153827	HECT domain containing	2	5	1	0	0	0	1
TWNK	ENSG00000107815	Helicases	2	2	1	0	0	0	1
HBD	ENSG00000223609	Hemoglobin subunits	1	4	1	0	0	0	1
DCPS	ENSG00000110063	Histidine triad superfamily	1	4	1	0	0	0	1
APTX	ENSG00000137074	Histidine triad superfamily	2	4	1	0	0	0	1
HDAC4	ENSG00000068024	"Histone deacetylases, class IIA"	2	1	1	0	0	0	1
EZH2	ENSG00000106462	Histone lysine methyltransferases	4	5	1	0	0	0	1
KMT2B	ENSG00000272333	Histone lysine methyltransferases	4	5	1	0	0	0	1
EHMT2	ENSG00000204371	Histone lysine methyltransferases	3	5	1	0	0	0	1
MTR	ENSG00000116984	Homocysteine domain containing methyltransferases	2	1	1	0	0	0	1
CCDC88C	ENSG00000015133	HOOK related protein family	1	1	1	0	0	0	1
VPS11	ENSG00000160695	HOPS complex	3	1	1	0	0	0	1
HOXA13	ENSG00000106031	HOXL subclass homeoboxes	1	3	1	0	0	0	1
PDX1	ENSG00000139515	HOXL subclass homeoboxes	1	3	1	0	0	0	1
TBK1	ENSG00000183735	I kappa B kinases	1	2	1	0	0	0	1
IKBKB	ENSG00000104365	I kappa B kinases	2	2	1	0	0	0	1
TTC21B	ENSG00000123607	IFT-A complex	2	3	1	0	0	0	1
WDR19	ENSG00000157796	IFT-A complex	2	3	1	0	0	0	1
IFT74	ENSG00000096872	IFT-B1 complex	1	1	1	0	0	0	1
IKBKB	ENSG00000104365	IKK complex	2	2	1	0	0	0	1
IGSF1	ENSG00000147255	Immunoglobulin like domain containing	1	7	1	0	0	0	1
SEMA3E	ENSG00000170381	Immunoglobulin like domain containing	2	7	1	0	0	0	1
MUSK	ENSG00000030304	Immunoglobulin like domain containing	3	7	1	0	0	0	1
IMPDH1	ENSG00000106348	Inosine monophosphate dehydrogenase family	1	1	1	0	0	0	1
ITGA7	ENSG00000135424	Integrin alpha subunits	1	2	1	0	0	0	1
IFITM5	ENSG00000206013	Interferon induced transmembrane protein family	2	1	1	0	0	0	1
IFNGR1	ENSG00000027697	Interferon receptors	2	2	1	0	0	0	1
IL6ST	ENSG00000134352	Interleukin receptors	3	5	1	0	0	0	1
IL2RB	ENSG00000100385	Interleukin receptors	2	5	1	0	0	0	1
IL10RA	ENSG00000110324	Interleukin receptors	2	5	1	0	0	0	1
NFKB1	ENSG00000109320	IPT domain containing	3	5	1	0	0	0	1
NFKB2	ENSG00000077150	IPT domain containing	3	5	1	0	0	0	1
ALPK3	ENSG00000136383	I-set domain containing	1	18	1	0	0	0	1
MYOT	ENSG00000120729	I-set domain containing	1	18	1	0	0	0	1
NEXN	ENSG00000162614	I-set domain containing	1	18	1	0	0	0	1
MERTK	ENSG00000153208	I-set domain containing	3	18	1	0	0	0	1
CDON	ENSG00000064309	I-set domain containing	2	18	1	0	0	0	1
DCC	ENSG00000187323	I-set domain containing	3	18	1	0	0	0	1
FLT4	ENSG00000037280	I-set domain containing	2	18	1	0	0	0	1
MUSK	ENSG00000030304	I-set domain containing	3	18	1	0	0	0	1
IDH1	ENSG00000138413	Isocitrate dehydrogenases	1	2	1	0	0	0	1
IDH2	ENSG00000182054	Isocitrate dehydrogenases	1	2	1	0	0	0	1
JAK2	ENSG00000096968	Jak family tyrosine kinases	3	3	1	0	0	0	1
JAK1	ENSG00000162434	Jak family tyrosine kinases	2	3	1	0	0	0	1
KLHL24	ENSG00000114796	Kelch like	2	2	1	0	0	0	1
KLHL40	ENSG00000157119	Kelch like	2	2	1	0	0	0	1
KRT10	ENSG00000186395	"Keratins, type I"	1	4	1	0	0	0	1
KRT16	ENSG00000186832	"Keratins, type I"	1	4	1	0	0	0	1
KRT25	ENSG00000204897	"Keratins, type I"	1	4	1	0	0	0	1
KRT1	ENSG00000167768	"Keratins, type II"	1	4	1	0	0	0	1
KRT6A	ENSG00000205420	"Keratins, type II"	1	4	1	0	0	0	1
KRT6C	ENSG00000170465	"Keratins, type II"	1	4	1	0	0	0	1
KIF5B	ENSG00000170759	Kinesins	1	8	1	0	0	0	1
KIF5C	ENSG00000168280	Kinesins	1	8	1	0	0	0	1
KIF22	ENSG00000079616	Kinesins	1	8	1	0	0	0	1
CENPE	ENSG00000138778	Kinesins	2	8	1	0	0	0	1
KIF21A	ENSG00000139116	Kinesins	2	8	1	0	0	0	1
KIF21B	ENSG00000116852	Kinesins	2	8	1	0	0	0	1
KLF5	ENSG00000102554	KLF transcription factors	2	1	1	0	0	0	1
RPL15	ENSG00000174748	L ribosomal proteins	1	2	1	0	0	0	1
NRL	ENSG00000129535	Large MAF bZIP transcription factor family	1	2	1	0	0	0	1
MRPL44	ENSG00000135900	Large subunit mitochondrial ribosomal proteins	2	1	1	0	0	0	1
LMOD2	ENSG00000170807	Leiomodins	1	1	1	0	0	0	1
LGI4	ENSG00000153902	LGI family	1	1	1	0	0	0	1
FHL1	ENSG00000022267	LIM domain containing	1	5	1	0	0	0	1
CSRP3	ENSG00000129170	LIM domain containing	1	5	1	0	0	0	1
NEBL	ENSG00000078114	LIM domain containing	2	5	1	0	0	0	1
PRICKLE1	ENSG00000139174	LIM domain containing	2	5	1	0	0	0	1
RBCK1	ENSG00000125826	Linear ubiquitin chain assembly complex 	4	1	1	0	0	0	1
LIPE	ENSG00000079435	Lipases	1	4	1	0	0	0	1
LIPH	ENSG00000163898	Lipases	1	4	1	0	0	0	1
LPIN1	ENSG00000134324	Lipins	2	2	1	0	0	0	1
LRP4	ENSG00000134569	Low density lipoprotein receptors	1	3	1	0	0	0	1
LRAT	ENSG00000121207	LRAT domain containing 	1	1	1	0	0	0	1
SLURP1	ENSG00000126233	LY6/PLAUR domain containing	1	1	1	0	0	0	1
TAF1	ENSG00000147133	Lysine acetyltransferases	3	3	1	0	0	0	1
CREBBP	ENSG00000005339	Lysine acetyltransferases	3	3	1	0	0	0	1
MMP20	ENSG00000137674	M10 matrix metallopeptidases	1	1	1	0	0	0	1
UQCRC2	ENSG00000140740	M16 metallopeptidases	2	2	1	0	0	0	1
MIPEP	ENSG00000027001	M3 metallopeptidase family	1	1	1	0	0	0	1
ZMPSTE24	ENSG00000084073	M48 metallopeptidase family	1	1	1	0	0	0	1
MEF2C	ENSG00000081189	MADS box family	2	1	1	0	0	0	1
MDH2	ENSG00000146701	Malate dehydrogenases	1	1	1	0	0	0	1
MARVELD2	ENSG00000152939	MARVEL domain containing	1	2	1	0	0	0	1
OCLN	ENSG00000197822	MARVEL domain containing	3	2	1	0	0	0	1
MICU1	ENSG00000107745	MCU complex subunits	2	1	1	0	0	0	1
MED23	ENSG00000112282	Mediator complex	1	5	1	0	0	0	1
MED13L	ENSG00000123066	Mediator complex	2	5	1	0	0	0	1
CDK8	ENSG00000132964	Mediator complex	2	5	1	0	0	0	1
MC1R	ENSG00000258839	Melanocortin receptors	1	3	1	0	0	0	1
CARD14	ENSG00000141527	Membrane associated guanylate kinases	3	3	1	0	0	0	1
C6	ENSG00000039537	Membrane Attack complex	3	3	1	0	0	0	1
C7	ENSG00000112936	Membrane Attack complex	3	3	1	0	0	0	1
C8B	ENSG00000021852	Membrane Attack complex	2	3	1	0	0	0	1
PORCN	ENSG00000102312	Membrane bound O-acyltransferase family	1	2	1	0	0	0	1
AMT	ENSG00000145020	Methyltransferases with unique structures	2	1	1	0	0	0	1
GCH1	ENSG00000131979	MicroRNA protein coding host genes	1	114	1	0	0	0	1
MAPK8IP3	ENSG00000138834	MicroRNA protein coding host genes	1	114	1	0	0	0	1
MEGF8	ENSG00000105429	MicroRNA protein coding host genes	1	114	1	0	0	0	1
SDCCAG8	ENSG00000054282	MicroRNA protein coding host genes	1	114	1	0	0	0	1
TANGO2	ENSG00000183597	MicroRNA protein coding host genes	1	114	1	0	0	0	1
UBTF	ENSG00000108312	MicroRNA protein coding host genes	1	114	1	0	0	0	1
CHM	ENSG00000188419	MicroRNA protein coding host genes	1	114	1	0	0	0	1
NR2F2	ENSG00000185551	MicroRNA protein coding host genes	2	114	1	0	0	0	1
PRKG1	ENSG00000185532	MicroRNA protein coding host genes	2	114	1	0	0	0	1
PC	ENSG00000173599	MicroRNA protein coding host genes	2	114	1	0	0	0	1
SNCB	ENSG00000074317	MicroRNA protein coding host genes	2	114	1	0	0	0	1
B9D1	ENSG00000108641	MicroRNA protein coding host genes	3	114	1	0	0	0	1
DVL1	ENSG00000107404	MicroRNA protein coding host genes	4	114	1	0	0	0	1
DCC	ENSG00000187323	MicroRNA protein coding host genes	3	114	1	0	0	0	1
PAX5	ENSG00000196092	MicroRNA protein coding host genes	3	114	1	0	0	0	1
FAM50A	ENSG00000071859	MicroRNA protein coding host genes	3	114	1	0	0	0	1
LYST	ENSG00000143669	MicroRNA protein coding host genes	3	114	1	0	0	0	1
AP1S1	ENSG00000106367	MicroRNA protein coding host genes	2	114	1	0	0	0	1
ADGRB2	ENSG00000121753	MicroRNA protein coding host genes	2	114	1	0	0	0	1
CTNNA3	ENSG00000183230	MicroRNA protein coding host genes	2	114	1	0	0	0	1
QARS1	ENSG00000172053	MicroRNA protein coding host genes	2	114	1	0	0	0	1
HUWE1	ENSG00000086758	MicroRNA protein coding host genes	3	114	1	0	0	0	1
ATP2B2	ENSG00000157087	MicroRNA protein coding host genes	2	114	1	0	0	0	1
SREBF1	ENSG00000072310	MicroRNA protein coding host genes	2	114	1	0	0	0	1
PCDH15	ENSG00000150275	MicroRNA protein coding host genes	2	114	1	0	0	0	1
EPCAM	ENSG00000119888	MicroRNA protein coding host genes	2	114	1	0	0	0	1
JAG1	ENSG00000101384	MicroRNA protein coding host genes	3	114	1	0	0	0	1
EIF4A2	ENSG00000156976	MicroRNA protein coding host genes	3	114	1	0	0	0	1
DHX30	ENSG00000132153	MicroRNA protein coding host genes	2	114	1	0	0	0	1
DNAJC5	ENSG00000101152	MicroRNA protein coding host genes	2	114	1	0	0	0	1
FASTKD2	ENSG00000118246	MicroRNA protein coding host genes	2	114	1	0	0	0	1
FOXP2	ENSG00000128573	MicroRNA protein coding host genes	2	114	1	0	0	0	1
HDAC4	ENSG00000068024	MicroRNA protein coding host genes	2	114	1	0	0	0	1
LPIN1	ENSG00000134324	MicroRNA protein coding host genes	2	114	1	0	0	0	1
MED13L	ENSG00000123066	MicroRNA protein coding host genes	2	114	1	0	0	0	1
NOTCH1	ENSG00000148400	MicroRNA protein coding host genes	2	114	1	0	0	0	1
CDC73	ENSG00000134371	MicroRNA protein coding host genes	2	114	1	0	0	0	1
PIGL	ENSG00000108474	MicroRNA protein coding host genes	2	114	1	0	0	0	1
PLEC	ENSG00000178209	MicroRNA protein coding host genes	2	114	1	0	0	0	1
AKT2	ENSG00000105221	MicroRNA protein coding host genes	3	114	1	0	0	0	1
RBFOX1	ENSG00000078328	MicroRNA protein coding host genes	3	114	1	0	0	0	1
GOSR2	ENSG00000108433	MicroRNA protein coding host genes	2	114	1	0	0	0	1
STS	ENSG00000101846	MicroRNA protein coding host genes	2	114	1	0	0	0	1
SYT1	ENSG00000067715	MicroRNA protein coding host genes	2	114	1	0	0	0	1
MEIS2	ENSG00000134138	MicroRNA protein coding host genes	2	114	1	0	0	0	1
TRAPPC4	ENSG00000196655	MicroRNA protein coding host genes	2	114	1	0	0	0	1
ATP6V0A1	ENSG00000033627	MicroRNA protein coding host genes	2	114	1	0	0	0	1
MTHFD1	ENSG00000100714	Minor histocompatibility antigens	1	5	1	0	0	0	1
WNK1	ENSG00000060237	Minor histocompatibility antigens	3	5	1	0	0	0	1
TMEM126B	ENSG00000171204	Mitochondrial complex I assembly complex	1	2	1	0	0	0	1
CYC1	ENSG00000179091	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	2	2	1	0	0	0	1
UQCRC2	ENSG00000140740	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	2	2	1	0	0	0	1
MT-CO1	ENSG00000198804	Mitochondrial complex IV: cytochrome c oxidase subunits	2	1	1	0	0	0	1
ATP5F1D	ENSG00000099624	Mitochondrial complex V: ATP synthase subunits	1	3	1	0	0	0	1
ATP5F1B	ENSG00000110955	Mitochondrial complex V: ATP synthase subunits	3	3	1	0	0	0	1
IBA57	ENSG00000181873	Mitochondrial iron-sulfur assembly components	1	5	1	0	0	0	1
BOLA3	ENSG00000163170	Mitochondrial iron-sulfur assembly components	1	5	1	0	0	0	1
LRPPRC	ENSG00000138095	Mitochondrial nucleoid associated proteins	3	3	1	0	0	0	1
TWNK	ENSG00000107815	Mitochondrial nucleoid associated proteins	2	3	1	0	0	0	1
HCCS	ENSG00000004961	Mitochondrial respiratory chain complex assembly factors	1	19	1	0	0	0	1
NDUFAF3	ENSG00000178057	Mitochondrial respiratory chain complex assembly factors	1	19	1	0	0	0	1
NDUFAF4	ENSG00000123545	Mitochondrial respiratory chain complex assembly factors	1	19	1	0	0	0	1
SCO2	ENSG00000284194	Mitochondrial respiratory chain complex assembly factors	1	19	1	0	0	0	1
TACO1	ENSG00000136463	Mitochondrial respiratory chain complex assembly factors	1	19	1	0	0	0	1
TMEM70	ENSG00000175606	Mitochondrial respiratory chain complex assembly factors	1	19	1	0	0	0	1
COA8	ENSG00000256053	Mitochondrial respiratory chain complex assembly factors	1	19	1	0	0	0	1
LRPPRC	ENSG00000138095	Mitochondrial respiratory chain complex assembly factors	3	19	1	0	0	0	1
TIMMDC1	ENSG00000113845	Mitochondrial respiratory chain complex assembly factors	2	19	1	0	0	0	1
MRPS7	ENSG00000125445	Mitochondrial ribosomal proteins	1	5	1	0	0	0	1
MRPL44	ENSG00000135900	Mitochondrial ribosomal proteins	2	5	1	0	0	0	1
MRPS2	ENSG00000122140	Mitochondrial ribosomal proteins	2	5	1	0	0	0	1
MRPS22	ENSG00000175110	Mitochondrial ribosomal proteins	2	5	1	0	0	0	1
MT-CO1	ENSG00000198804	Mitochondrially encoded protein coding genes	2	6	1	0	0	0	1
MT-ND4L	ENSG00000212907	Mitochondrially encoded protein coding genes	2	6	1	0	0	0	1
MT-ND5	ENSG00000198786	Mitochondrially encoded protein coding genes	2	6	1	0	0	0	1
MAP3K7	ENSG00000135341	Mitogen-activated protein kinase kinase kinases	1	4	1	0	0	0	1
MAP3K1	ENSG00000095015	Mitogen-activated protein kinase kinase kinases	3	4	1	0	0	0	1
MAPK1	ENSG00000100030	Mitogen-activated protein kinases	1	1	1	0	0	0	1
B9D1	ENSG00000108641	MKS complex	3	7	1	0	0	0	1
TCTN2	ENSG00000168778	MKS complex	2	7	1	0	0	0	1
EZH2	ENSG00000106462	Myb/SANT domain containing	4	2	1	0	0	0	1
MEF2C	ENSG00000081189	Myocyte enhancer factor 2 proteins	2	1	1	0	0	0	1
MYH14	ENSG00000105357	"Myosin heavy chains, class II"	1	5	1	0	0	0	1
MYO3A	ENSG00000095777	"Myosin heavy chains, class III"	1	1	1	0	0	0	1
MYO6	ENSG00000196586	"Myosin heavy chains, class VI"	1	1	1	0	0	0	1
KAT6B	ENSG00000156650	MYST type domain containing lysine acetyltransferases	3	1	1	0	0	0	1
NDUFS1	ENSG00000023228	NADH:ubiquinone oxidoreductase core subunits	1	9	1	0	0	0	1
NDUFS3	ENSG00000213619	NADH:ubiquinone oxidoreductase core subunits	1	9	1	0	0	0	1
MT-ND4L	ENSG00000212907	NADH:ubiquinone oxidoreductase core subunits	2	9	1	0	0	0	1
MT-ND5	ENSG00000198786	NADH:ubiquinone oxidoreductase core subunits	2	9	1	0	0	0	1
NDUFB3	ENSG00000119013	NADH:ubiquinone oxidoreductase supernumerary subunits	1	5	1	0	0	0	1
NDUFB11	ENSG00000147123	NADH:ubiquinone oxidoreductase supernumerary subunits	1	5	1	0	0	0	1
NDUFA9	ENSG00000139180	NADH:ubiquinone oxidoreductase supernumerary subunits	3	5	1	0	0	0	1
UNC80	ENSG00000144406	NALCN channel complex subunits	1	2	1	0	0	0	1
NAA30	ENSG00000139977	N-alpha-acetyltransferase subunits	2	3	1	0	0	0	1
NAA80	ENSG00000243477	N-alpha-acetyltransferase subunits	2	3	1	0	0	0	1
BIN1	ENSG00000136717	N-BAR domain containing	1	1	1	0	0	0	1
NUF2	ENSG00000143228	NDC80 kinetochore complex 	1	1	1	0	0	0	1
NEBL	ENSG00000078114	Nebulin family	2	2	1	0	0	0	1
COL4A4	ENSG00000081052	Network forming collagens	1	4	1	0	0	0	1
NLGN3	ENSG00000196338	Neuroligins	1	2	1	0	0	0	1
NLGN4X	ENSG00000146938	Neuroligins	1	2	1	0	0	0	1
NFKB1	ENSG00000109320	NF-kappa B complex subunits	3	2	1	0	0	0	1
NFKB2	ENSG00000077150	NF-kappa B complex subunits	3	2	1	0	0	0	1
DLX3	ENSG00000064195	NKL subclass homeoboxes and pseudogenes	1	3	1	0	0	0	1
CIITA	ENSG00000179583	NLR family	1	7	1	0	0	0	1
NLRC4	ENSG00000091106	NLR family	2	7	1	0	0	0	1
NLRP1	ENSG00000091592	NLR family	3	7	1	0	0	0	1
NLRP7	ENSG00000167634	NLR family	2	7	1	0	0	0	1
NLRP12	ENSG00000142405	NLR family	2	7	1	0	0	0	1
PCDH12	ENSG00000113555	Non-clustered protocadherins	1	2	1	0	0	0	1
NSUN2	ENSG00000037474	NOP2/Sun RNA methyltransferase family	2	1	1	0	0	0	1
NOTCH1	ENSG00000148400	Notch receptors	2	3	1	0	0	0	1
NPHP1	ENSG00000144061	NPHP complex	1	1	1	0	0	0	1
RINT1	ENSG00000135249	NRZ tethering complex	1	2	1	0	0	0	1
NR2F1	ENSG00000175745	Nuclear receptor subfamily 2 group F	1	2	1	0	0	0	1
NR2F2	ENSG00000185551	Nuclear receptor subfamily 2 group F	2	2	1	0	0	0	1
NR3C1	ENSG00000113580	Nuclear receptor subfamily 3 group C	1	2	1	0	0	0	1
NUP214	ENSG00000126883	Nucleoporins	1	7	1	0	0	0	1
NUP37	ENSG00000075188	Nucleoporins	2	7	1	0	0	0	1
ORAI1	ENSG00000276045	ORAI calcium release-activated calcium modulators	1	1	1	0	0	0	1
ORC4	ENSG00000115947	Origin recognition complex	2	2	1	0	0	0	1
TNFAIP3	ENSG00000118503	OTU domain containing	2	1	1	0	0	0	1
DHTKD1	ENSG00000181192	Oxoglutarate dehydrogenase family	1	1	1	0	0	0	1
P2RY12	ENSG00000169313	P2Y receptors	1	1	1	0	0	0	1
CDC73	ENSG00000134371	Paf1/RNA polymerase II complex 	2	1	1	0	0	0	1
PAX2	ENSG00000075891	Paired boxes	2	5	1	0	0	0	1
PAX3	ENSG00000135903	Paired boxes	2	5	1	0	0	0	1
PAX5	ENSG00000196092	Paired boxes	3	5	1	0	0	0	1
PTH1R	ENSG00000160801	Parathyroid hormone receptors	1	1	1	0	0	0	1
PNLDC1	ENSG00000146453	PARN exonuclease family	1	2	1	0	0	0	1
PNPLA1	ENSG00000180316	Patatin like phospholipase domain containing	1	2	1	0	0	0	1
PRX	ENSG00000105227	PDZ domain containing	1	10	1	0	0	0	1
USH1C	ENSG00000006611	PDZ domain containing	1	10	1	0	0	0	1
SHANK3	ENSG00000251322	PDZ domain containing	3	10	1	0	0	0	1
CARD14	ENSG00000141527	PDZ domain containing	3	10	1	0	0	0	1
DVL1	ENSG00000107404	PDZ domain containing	4	10	1	0	0	0	1
LRPPRC	ENSG00000138095	Pentatricopeptide repeat containing	3	1	1	0	0	0	1
CTSD	ENSG00000117984	Peptidase family A1	2	1	1	0	0	0	1
GHSR	ENSG00000121853	Peptide receptors	1	2	1	0	0	0	1
KISS1R	ENSG00000116014	Peptide receptors	1	2	1	0	0	0	1
PADI6	ENSG00000276747	Peptidyl arginine deiminases	1	2	1	0	0	0	1
PEX7	ENSG00000112357	Peroxins	2	9	1	0	0	0	1
KMT2B	ENSG00000272333	PHD finger proteins	4	8	1	0	0	0	1
KAT6B	ENSG00000156650	PHD finger proteins	3	8	1	0	0	0	1
PIK3CD	ENSG00000171608	Phosphatidylinositol 3-kinase family	1	2	1	0	0	0	1
PIGO	ENSG00000165282	Phosphatidylinositol glycan anchor biosynthesis	1	8	1	0	0	0	1
PIGC	ENSG00000135845	Phosphatidylinositol glycan anchor biosynthesis	2	8	1	0	0	0	1
PIGL	ENSG00000108474	Phosphatidylinositol glycan anchor biosynthesis	2	8	1	0	0	0	1
PIGV	ENSG00000060642	Phosphatidylinositol glycan anchor biosynthesis	2	8	1	0	0	0	1
PDE6A	ENSG00000132915	Phosphodiesterases	1	2	1	0	0	0	1
PDE10A	ENSG00000112541	Phosphodiesterases	1	2	1	0	0	0	1
PGAM2	ENSG00000164708	Phosphoglycerate mutases	2	1	1	0	0	0	1
INPP5K	ENSG00000132376	Phosphoinositide phosphatases	1	6	1	0	0	0	1
PLCB1	ENSG00000182621	Phospholipases	2	3	1	0	0	0	1
PLCZ1	ENSG00000139151	Phospholipases	3	3	1	0	0	0	1
PHKB	ENSG00000102893	Phosphorylase kinase subunits	1	5	1	0	0	0	1
PHKG2	ENSG00000156873	Phosphorylase kinase subunits	1	5	1	0	0	0	1
CALM2	ENSG00000143933	Phosphorylase kinase subunits	3	5	1	0	0	0	1
CALM3	ENSG00000160014	Phosphorylase kinase subunits	3	5	1	0	0	0	1
PLEC	ENSG00000178209	Plakins	2	2	1	0	0	0	1
PLS3	ENSG00000102024	Plastin family	2	1	1	0	0	0	1
ARHGEF9	ENSG00000131089	Pleckstrin homology domain containing	2	16	1	0	0	0	1
AKT2	ENSG00000105221	Pleckstrin homology domain containing	3	16	1	0	0	0	1
SH3BP2	ENSG00000087266	Pleckstrin homology domain containing	2	16	1	0	0	0	1
RASA1	ENSG00000145715	Pleckstrin homology domain containing	3	16	1	0	0	0	1
SPTBN1	ENSG00000115306	Pleckstrin homology domain containing	2	16	1	0	0	0	1
SPTBN4	ENSG00000160460	Pleckstrin homology domain containing	2	16	1	0	0	0	1
FERMT3	ENSG00000149781	Pleckstrin homology domain containing	3	16	1	0	0	0	1
FGD1	ENSG00000102302	Pleckstrin homology domain containing	3	16	1	0	0	0	1
EZH2	ENSG00000106462	Polycomb repressive complex 2	4	1	1	0	0	0	1
GALNTL5	ENSG00000106648	Polypeptide N-acetylgalactosaminyltransferases	1	1	1	0	0	0	1
KCNJ13	ENSG00000115474	Potassium inwardly rectifying channel subfamily J	1	5	1	0	0	0	1
KCNE2	ENSG00000159197	Potassium voltage-gated channel regulatory subunits	1	2	1	0	0	0	1
POU1F1	ENSG00000064835	POU class homeoboxes and pseudogenes	1	4	1	0	0	0	1
POU3F4	ENSG00000196767	POU class homeoboxes and pseudogenes	1	4	1	0	0	0	1
POU4F3	ENSG00000091010	POU class homeoboxes and pseudogenes	1	4	1	0	0	0	1
ALX4	ENSG00000052850	PRD class homeoboxes and pseudogenes	1	16	1	0	0	0	1
NOBOX	ENSG00000106410	PRD class homeoboxes and pseudogenes	1	16	1	0	0	0	1
OTX2	ENSG00000165588	PRD class homeoboxes and pseudogenes	1	16	1	0	0	0	1
PITX3	ENSG00000107859	PRD class homeoboxes and pseudogenes	1	16	1	0	0	0	1
VSX2	ENSG00000119614	PRD class homeoboxes and pseudogenes	1	16	1	0	0	0	1
PAX2	ENSG00000075891	PRD class homeoboxes and pseudogenes	2	16	1	0	0	0	1
PAX3	ENSG00000135903	PRD class homeoboxes and pseudogenes	2	16	1	0	0	0	1
PAX5	ENSG00000196092	PRD class homeoboxes and pseudogenes	3	16	1	0	0	0	1
PRICKLE1	ENSG00000139174	Prickle planar cell polarity proteins	2	1	1	0	0	0	1
PLOD1	ENSG00000083444	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase family"	1	1	1	0	0	0	1
PROK2	ENSG00000163421	Prokineticin family	2	1	1	0	0	0	1
PROKR2	ENSG00000101292	Prokineticin receptors	1	1	1	0	0	0	1
P3H1	ENSG00000117385	Prolyl 3-hydroxylase family	1	2	1	0	0	0	1
PROM1	ENSG00000007062	Prominin family	2	1	1	0	0	0	1
CASQ1	ENSG00000143318	Protein disulfide isomerases	1	3	1	0	0	0	1
TMX2	ENSG00000213593	Protein disulfide isomerases	2	3	1	0	0	0	1
PRKCD	ENSG00000163932	Protein kinase C family	2	1	1	0	0	0	1
PRKG1	ENSG00000185532	Protein kinase G family	2	1	1	0	0	0	1
WNK1	ENSG00000060237	Protein phosphatase 1 regulatory subunits	3	19	1	0	0	0	1
NONO	ENSG00000147140	Protein phosphatase 1 regulatory subunits	2	19	1	0	0	0	1
OCLN	ENSG00000197822	Protein phosphatase 1 regulatory subunits	3	19	1	0	0	0	1
CENPE	ENSG00000138778	Protein phosphatase 1 regulatory subunits	2	19	1	0	0	0	1
WDR81	ENSG00000167716	Protein phosphatase 1 regulatory subunits	4	19	1	0	0	0	1
PUS1	ENSG00000177192	Pseudouridine synthases	1	2	1	0	0	0	1
SETD5	ENSG00000168137	Putative lysine methyltransferases	2	1	1	0	0	0	1
NLRP1	ENSG00000091592	Pyrin domain containing	3	5	1	0	0	0	1
NLRP7	ENSG00000167634	Pyrin domain containing	2	5	1	0	0	0	1
NLRP12	ENSG00000142405	Pyrin domain containing	2	5	1	0	0	0	1
PC	ENSG00000173599	Pyruvate carboxylase family	2	1	1	0	0	0	1
PDHB	ENSG00000168291	Pyruvate dehydrogenase complex	1	3	1	0	0	0	1
RAB11B	ENSG00000185236	"RAB, member RAS oncogene GTPases"	1	3	1	0	0	0	1
RAB39B	ENSG00000155961	"RAB, member RAS oncogene GTPases"	1	3	1	0	0	0	1
MOCS1	ENSG00000124615	Radical S-adenosylmethionine domain containing	1	1	1	0	0	0	1
